"geneName","teName","pvalue","coef","padj","pair","kznf_age","te_age","age_c"
"ZNF605","Charlie4",0.00174193609224633,-0.479550304627706,0.00936486906391472,"ZNF605-Charlie4","o","o","o-o"
"ZNF605","HERV1_LTRb",0.0227217013335906,-0.35946140052472,0.0691147683514395,"ZNF605-HERV1_LTRb","o","y","o-y"
"ZNF605","HERVE-int",5.06774241081446e-07,-0.699673941201929,1.62772160816187e-05,"ZNF605-HERVE-int","o","o","o-o"
"ZNF605","HERVL74-int",0.0106470338827415,-0.39952944858403,0.0385497894606124,"ZNF605-HERVL74-int","o","o","o-o"
"ZNF605","LTR16D1",0.0197168785751133,-0.367328187242549,0.0619392917377987,"ZNF605-LTR16D1","o","o","o-o"
"ZNF605","LTR3B",1.57555465487812e-07,-0.720628901432793,6.57219709126986e-06,"ZNF605-LTR3B","o","y","o-y"
"ZNF605","LTR46-int",0.0206334515119694,-0.364828020887494,0.0641415648993206,"ZNF605-LTR46-int","o","o","o-o"
"ZNF605","LTR6A",1.78584953904343e-07,-0.718467557572913,7.2654975874611e-06,"ZNF605-LTR6A","o","y","o-y"
"ZNF605","MER74B",4.43549415915606e-06,-0.655423512332719,8.88449707667132e-05,"ZNF605-MER74B","o","o","o-o"
"ZNF605","MER88",0.023208841091357,-0.358269029769346,0.0702860171530074,"ZNF605-MER88","o","o","o-o"
"ZNF605","Tigger16a",0.0164936526155185,-0.376974849975047,0.0540439429637013,"ZNF605-Tigger16a","o","o","o-o"
"ZNF605","X6A_LINE",0.00119745818604823,-0.493979944275425,0.00697401076289089,"ZNF605-X6A_LINE","o","o","o-o"
"ZNF688","Charlie4",5.95378670108265e-05,-0.590930879340073,0.00066956323283741,"ZNF688-Charlie4","o","o","o-o"
"ZNF688","HERV1_LTRb",0.0295405976281303,-0.344404164694997,0.0845612168465567,"ZNF688-HERV1_LTRb","o","y","o-y"
"ZNF688","HERVE-int",5.64846538132736e-09,-0.771504275721076,5.44413601273172e-07,"ZNF688-HERVE-int","o","o","o-o"
"ZNF688","HERVL74-int",0.0104774064339,-0.400329218802014,0.0380708551317286,"ZNF688-HERVL74-int","o","o","o-o"
"ZNF688","LTR16D1",0.00786293208326581,-0.414315834304494,0.030483890287186,"ZNF688-LTR16D1","o","o","o-o"
"ZNF688","LTR3B",1.44761906184571e-06,-0.679201684400525,3.67933444458944e-05,"ZNF688-LTR3B","o","y","o-y"
"ZNF688","LTR46-int",0.0181784827189936,-0.371752545248345,0.0582076642340377,"ZNF688-LTR46-int","o","o","o-o"
"ZNF688","LTR6A",1.63381365089671e-07,-0.720004561671837,6.77039807050417e-06,"ZNF688-LTR6A","o","y","o-y"
"ZNF688","MER74B",7.21324312317992e-07,-0.692971663777794,2.14490962480987e-05,"ZNF688-MER74B","o","o","o-o"
"ZNF688","MER88",0.00707286532789165,-0.419333384223312,0.0280940654293088,"ZNF688-MER88","o","o","o-o"
"ZNF688","Tigger16a",0.000860192241949148,-0.506213753643408,0.00538201595002831,"ZNF688-Tigger16a","o","o","o-o"
"ZNF688","X6A_LINE",0.00079475091862054,-0.509073932258903,0.0050577818130846,"ZNF688-X6A_LINE","o","o","o-o"
"ZNF778","Charlie4",0.0272907458544965,-0.349020463792978,0.0795746593704004,"ZNF778-Charlie4","y","o","y-o"
